id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,temps_diff,lat_std,long_std,cluster_DBSCAN
8509693165,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,19,16,24,5,2012,233338740.0,-1.8577470844992525,-0.14179275987969384,229
8509693101,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,58,16,24,5,2012,233341080.0,-1.8577470844992525,-0.14179275987969384,229
8509693033,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,13,17,24,5,2012,233341980.0,-1.8577470844992525,-0.14179275987969384,229
8510800674,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,9,7,7,6,2012,234515340.0,-1.8577470844992525,-0.14179275987969384,229
8510800592,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,13,7,7,6,2012,234515580.0,-1.8577470844992525,-0.14179275987969384,229
8510800518,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,15,7,7,6,2012,234515700.0,-1.8577470844992525,-0.14179275987969384,229
8509692665,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,27,7,7,6,2012,234516420.0,-1.8577470844992525,-0.14179275987969384,229
8509692579,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,14,8,7,6,2012,234519240.0,-1.8577470844992525,-0.14179275987969384,229
8510800276,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,1,8,7,6,2012,234518460.0,-1.8577470844992525,-0.14179275987969384,229
8509692533,66063379@N03,45.717911,4.833512,"port,photography,photo,nikon,noir,photographie,lyon,photos,centre,rhne,bateaux,travail,pniche,et,blanc,hommes,edouard,reportage,fleuve,gerland,industriel,crf,herriot,photographies,travailleurs,rparation,fluviale,d700,soudeurs,tdallest,dallest",crf,15,8,7,6,2012,234519300.0,-1.8577470844992525,-0.14179275987969384,229
