id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken
4749937667,45.757796,4.833886,144,hold breath street light shadow white black france bus love night kiss noir place lyon lumire ombre walker amour lover nuit blanc passerby baiser amoureux bellecour embrasser,2009,12,3,18,59,155329140.0,undef,2009-12-03 18:59:00
5113526493,45.757822,4.833877,144,h lyon police violence bellecour jeunes incident retraites affrontements violence,2009,10,22,16,53,151692780.0,undef,2009-10-22 16:53:00
5104811922,45.757938,4.833946,144, lyon riot cr retraite meutes,2010,10,20,16,18,183053880.0,undef,2010-10-20 16:18:00
5104204779,45.757938,4.833946,144, lyon riot cr retraite meutes,2010,10,20,15,56,183052560.0,undef,2010-10-20 15:56:00
5543134503,45.757861,4.833913,144,lyon striker protest french pension reform france europe lyon protest strike citycenter fr citycentre centreville fra manifestation grve retraite placebellecour rhnealps civilconflict pensionreform coeurdelaville frcentreville frcoeurdelaville frgrve frmanifestation frretraite frrformeretraite rformeretraite,2010,10,19,13,24,182957040.0,undef,2010-10-19 13:24:00
5543711774,45.757872,4.834008,144,lyon striker protest french pension reform france europe lyon protest strike citycenter fr citycentre centreville fra manifestation grve retraite placebellecour rhnealps civilconflict pensionreform coeurdelaville frcentreville frcoeurdelaville frgrve frmanifestation frretraite frrformeretraite rformeretraite,2010,10,19,13,24,182957040.0,undef,2010-10-19 13:24:00
6501358025,45.757852,4.833957,144,louis vole king flight france statue balloon louis lyon xiv bellecour,2011,12,10,10,56,218976960.0,undef,2011-12-10 10:56:00
6841980310,45.757964,4.833907,144,jade portrait nb portrait monochrome smile nikon wb nb sourire,2011,7,28,21,2,207349320.0,undef,2011-07-28 21:02:00
6978989652,45.757964,4.833907,144,jade lyon rememberthatmomentlevel,2012,4,29,16,50,231180600.0,undef,2012-04-29 16:50:00
7053769587,45.757964,4.833907,144,asmaa automne ,2011,10,30,15,13,215449980.0,undef,2011-10-30 15:13:00
7053638849,45.757964,4.833907,144,jade surpris nb ,2012,4,1,16,32,228760320.0,undef,2012-04-01 16:32:00
7216877710,45.757964,4.833907,144,naissance nature fleur rose proximacro,2012,5,17,14,39,232727940.0,undef,2012-05-17 14:39:00
7001814918,45.757964,4.833907,144,dragon jade ,2011,11,27,15,21,217869660.0,undef,2011-11-27 15:21:00
7650313970,45.757964,4.833907,144,gros plan portrait nikon nb grosplan,2012,7,9,19,45,237325500.0,undef,2012-07-09 19:45:00
7648725164,45.757964,4.833907,144, smile nikon nb sourire portrait mm,2012,7,9,19,37,237325020.0,undef,2012-07-09 19:37:00
7768218808,45.757964,4.833907,144,asmaa ,2012,8,5,13,35,239636100.0,undef,2012-08-05 13:35:00
7768217276,45.757964,4.833907,144,jade ,2012,8,5,13,33,239635980.0,undef,2012-08-05 13:33:00
7768215870,45.757964,4.833907,144,jade nb ,2012,8,5,13,33,239635980.0,undef,2012-08-05 13:33:00
8230979612,45.757849,4.833894,144,hipstaprint sansflash hipstamatic objectifjane filminas,2012,11,29,21,55,249688500.0,undef,2012-11-29 21:55:00
8412312538,45.757882,4.833941,144,rue rpublique ,2012,12,6,20,44,250289040.0,undef,2012-12-06 20:44:00
8327458308,45.757964,4.833907,144,hypnotique granderoue bellecour,2012,12,29,18,52,252269520.0,undef,2012-12-29 18:52:00
8326125873,45.757964,4.833907,144,pneu lyon granderoue bellecour poselongue,2012,12,29,18,53,252269580.0,undef,2012-12-29 18:53:00
8258965791,45.758,4.834,144,street night lyon france art photography,2012,10,22,22,56,246408960.0,undef,2012-10-22 22:56:00
13473500674,45.75785,4.834004,144, sun spring lyon rhne heat quais,2014,3,28,21,2,291502920.0,undef,2014-03-28 21:02:00
13473498344,45.75785,4.834004,144, street people sun spring rhne skatepark biking quais,2014,3,28,21,5,291503100.0,undef,2014-03-28 21:05:00
13473248833,45.75785,4.834004,144,quai rhne bridge sun spring lyon rhne quais,2014,3,28,13,11,291474660.0,undef,2014-03-28 13:11:00
13473491394,45.75785,4.834004,144,bird bridge people sun bird spring lyon rhne,2014,3,28,21,6,291503160.0,undef,2014-03-28 21:06:00
12971375325,45.757792,4.833898,144,ftes lumires lyon ftesdeslumires,2013,12,6,22,29,281831340.0,undef,2013-12-06 22:29:00
