id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type
4518015943,45.769008,4.830422,126,lyon france panoramic lyonfr,2010,4,13,11,15,-1.5369333242076342,undef
4106638588,45.768959,4.830315,126,lyoncroix rousse place sathonay statue sergent blandan france lyon rhne croixrousse,2009,9,7,14,17,-1.7509423106811914,undef
5468569385,45.769013,4.830345,126,bosushi livr mme min else square squareformat earlybird iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,22,20,44,-1.2271326389935096,undef
5462290785,45.769013,4.830345,126,glo dommage jai dj tout lu scan square squareformat iphoneography instagramapp xproii uploadedbyinstagram foursquarevenue,2011,2,20,22,21,-1.2290309968888105,undef
5439039042,45.769013,4.830345,126,ethan prpare mario kart square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,12,17,12,-1.237099870601895,undef
5428475731,45.769013,4.830345,126,macdo pomf thud else square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,8,20,57,-1.2408754404727145,undef
5419851917,45.769013,4.830345,126,epic game versus fucking pool square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,6,4,4,-1.2435309587215129,undef
5414124710,45.769013,4.830345,126,merci moumoute square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,3,20,51,-1.245790843632448,undef
5408844277,45.769013,4.830345,126,archon toilet mano saek square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,2,3,8,-1.247498206123263,undef
5408791049,45.769013,4.830345,126,wtf mass queen oo square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,2,2,43,-1.2475152592843777,undef
5408266477,45.769013,4.830345,126,mange mattant vidos pomf thud cest grave docteur ladrogue square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,1,22,50,-1.2476741947459675,undef
5405741397,45.769013,4.830345,126,pareil mac square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,2,1,1,56,-1.2485295813074866,undef
5405316086,45.769013,4.830345,126,sweat assassin creed check square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,1,31,19,19,-1.24880038550599,undef
5404695077,45.769013,4.830345,126,ups livre rapidement normal si cest coup boulet canon square squareformat iphoneography instagramapp uploadedbyinstagram foursquarevenue,2011,1,31,19,13,-1.2488044782646577,undef
