id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type
4996194761,45.773083,4.85475,99,fragile ,2010,9,16,0,28,-1.3841417755040295,undef
5071641010,45.773248,4.854669,99,imprudence red plante rouge insecte,2010,10,9,13,38,-1.3610108677678985,undef
4095364413,45.773089,4.854809,99,euphorbia milii christplant fleur lyon euphorbia dor parc tete crownofthorns euphorbiaceae tropicale milii christplant sebastiencheniclet,2009,11,9,17,28,-1.688929513476844,undef
4095244813,45.773089,4.854809,99,fleur tropicale fleur lyon dor parc tete tropicale sebastiencheniclet,2009,11,9,17,25,-1.6889315598561778,undef
4096001006,45.773089,4.854809,99,fleur tropicale fleur lyon dor parc tete tropicale sebastiencheniclet,2009,11,9,17,24,-1.6889322419826225,undef
5632546449,45.773143,4.854809,99,ptard cest haut ,2011,4,16,15,9,-1.1753012611011495,undef
6203545068,45.773097,4.854796,99,grande serre france lyon rhne grandeserre,2011,10,2,11,36,-1.0094442624778204,undef
6203543930,45.773097,4.854796,99,dracnaces france lyon rhne grandeserre,2011,10,2,11,35,-1.009444944604265,undef
6790422314,45.773204,4.854819,99, holga lomo lomography lyon holga bc,2012,1,31,10,55,-0.890618517956254,undef
7225896450,45.773139,4.854755,99,serres bw nb serre parcdelattedor,2012,5,18,14,10,-0.7844011986365351,undef
7736175582,45.773166,4.854833,99,flux photo ,2012,7,19,14,46,-0.7234763931113126,undef
7736173096,45.773166,4.854833,99,flux photo ,2012,7,19,14,45,-0.7234770752377572,undef
7736171062,45.773166,4.854833,99,flux photo ,2012,7,19,14,44,-0.7234777573642018,undef
7736169504,45.773166,4.854833,99,flux photo ,2012,7,19,14,43,-0.7234784394906464,undef
7736167434,45.773166,4.854833,99,flux photo ,2012,7,19,14,42,-0.7234791216170909,undef
7736165024,45.773166,4.854833,99,flux photo ,2012,7,19,14,41,-0.7234798037435356,undef
7736153650,45.773,4.854833,99,flux photo ,2012,7,19,14,33,-0.7234852607550923,undef
7736150136,45.773,4.854833,99,flux photo ,2012,7,19,14,32,-0.7234859428815369,undef
7736146908,45.773,4.854833,99,flux photo ,2012,7,19,14,32,-0.7234859428815369,undef
