id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken
4924503826,45.762096,4.823234,249,hollywood bokeh fourvire lyon fourvire vieuxlyon candidpeople hollywoodbokeh voigtlandernokton mmf slii,2010,8,17,21,26,177542760.0,undef,2010-08-17 21:26:00
5128911452,45.761961,4.823279,249,photo lyon samsung wave,2010,10,30,17,31,183922260.0,undef,2010-10-30 17:31:00
5128911188,45.761961,4.823279,249,photo lyon samsung wave,2010,10,30,17,31,183922260.0,undef,2010-10-30 17:31:00
5128910996,45.761961,4.823279,249,photo lyon samsung wave,2010,10,30,17,31,183922260.0,undef,2010-10-30 17:31:00
5128910828,45.761961,4.823279,249,photo lyon samsung wave,2010,10,30,17,31,183922260.0,undef,2010-10-30 17:31:00
5128514626,45.761961,4.823279,249, ,2010,10,28,15,27,183742020.0,undef,2010-10-28 15:27:00
5127907685,45.761961,4.823279,249, ,2010,10,28,15,24,183741840.0,undef,2010-10-28 15:24:00
5128510964,45.761961,4.823279,249, ,2010,10,28,15,18,183741480.0,undef,2010-10-28 15:18:00
5127904845,45.761961,4.823279,249, ,2010,10,28,15,17,183741420.0,undef,2010-10-28 15:17:00
5128507938,45.761961,4.823279,249, ,2010,10,28,15,15,183741300.0,undef,2010-10-28 15:15:00
5128506644,45.761961,4.823279,249, ,2010,10,28,15,15,183741300.0,undef,2010-10-28 15:15:00
5128504728,45.761961,4.823279,249, ,2010,10,28,15,13,183741180.0,undef,2010-10-28 15:13:00
5127898687,45.761961,4.823279,249, ,2010,10,28,15,12,183741120.0,undef,2010-10-28 15:12:00
5128502124,45.761961,4.823279,249, ,2010,10,28,15,12,183741120.0,undef,2010-10-28 15:12:00
5128500280,45.761961,4.823279,249, ,2010,10,28,15,11,183741060.0,undef,2010-10-28 15:11:00
5128498736,45.761961,4.823279,249, ,2010,10,28,15,8,183740880.0,undef,2010-10-28 15:08:00
5128497020,45.761961,4.823279,249, ,2010,10,28,15,3,183740580.0,undef,2010-10-28 15:03:00
5128495320,45.761961,4.823279,249, ,2010,10,28,15,2,183740520.0,undef,2010-10-28 15:02:00
5128493570,45.761961,4.823279,249, ,2010,10,28,15,0,183740400.0,undef,2010-10-28 15:00:00
5128492352,45.761961,4.823279,249, ,2010,10,28,14,59,183740340.0,undef,2010-10-28 14:59:00
5128490816,45.761961,4.823279,249, ,2010,10,28,14,58,183740280.0,undef,2010-10-28 14:58:00
5127884207,45.761961,4.823279,249, ,2010,10,28,14,58,183740280.0,undef,2010-10-28 14:58:00
5128487610,45.761961,4.823279,249, ,2010,10,28,14,52,183739920.0,undef,2010-10-28 14:52:00
5127880891,45.761961,4.823279,249, ,2010,10,28,14,45,183739500.0,undef,2010-10-28 14:45:00
5128484044,45.761961,4.823279,249, ,2010,10,28,14,44,183739440.0,undef,2010-10-28 14:44:00
5127854099,45.761961,4.823279,249, ,2010,10,26,22,52,183595920.0,undef,2010-10-26 22:52:00
5127849893,45.761961,4.823279,249, ,2010,10,26,21,12,183589920.0,undef,2010-10-26 21:12:00
7304863426,45.762074,4.823244,249, saint lyon michel fourvire archange pixl pixlomatic,2012,5,31,1,12,233889120.0,undef,2012-05-31 01:12:00
9392499246,45.761991,4.823223,249,new lyon basilica lyon radisson radissonhotel thapril tourpartdieu april radissonlyon,2013,4,30,10,31,262780260.0,undef,2013-04-30 10:31:00
9389717063,45.761991,4.823223,249,cathedral basilica lyon cathedral lyon notredamedefourvire thapril lyoncathedral notredamedefourvirelyon april cathedraldestjean basilicadenotredamedefourvire basilicadenotredamedefourvirelyon basilicaofnotredamedefourvirelyon,2013,4,30,10,31,262780260.0,undef,2013-04-30 10:31:00
9389713301,45.761991,4.823223,249,cathedral basilica lyon cathedral lyon notredamedefourvire thapril lyoncathedral notredamedefourvirelyon april cathedraldestjean basilicadenotredamedefourvire basilicadenotredamedefourvirelyon basilicaofnotredamedefourvirelyon,2013,4,30,10,31,262780260.0,undef,2013-04-30 10:31:00
9392460962,45.761991,4.823223,249,cathedral basilica lyon cathedral lyon notredamedefourvire thapril lyoncathedral notredamedefourvirelyon april cathedraldestjean basilicadenotredamedefourvire basilicadenotredamedefourvirelyon basilicaofnotredamedefourvirelyon,2013,4,30,9,32,262776720.0,undef,2013-04-30 09:32:00
9389678537,45.761991,4.823223,249,cathedral basilica lyon cathedral lyon notredamedefourvire thapril lyoncathedral notredamedefourvirelyon april cathedraldestjean basilicadenotredamedefourvire basilicadenotredamedefourvirelyon basilicaofnotredamedefourvirelyon,2013,4,30,10,37,262780620.0,undef,2013-04-30 10:37:00
9367654745,45.761991,4.823223,249,view north basilique dame fourviere lyon lyon thapril april,2013,4,30,10,24,262779840.0,undef,2013-04-30 10:24:00
9545109177,45.762,4.823166,249,montmartre ,2013,7,19,9,51,269689860.0,undef,2013-07-19 09:51:00
