id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken,year_month
6001362653,45.76271,4.828373,198,vieux lyon lyon frankrijk rhonealpes levieuxlyon,2011,7,20,15,44,206639040.0,Site d'Intérêt,2011-07-20 15:44:00,2011-07
6001910630,45.76271,4.828373,198,vieux lyon lyon frankrijk rhonealpes levieuxlyon,2011,7,20,15,36,206638560.0,Site d'Intérêt,2011-07-20 15:36:00,2011-07
6001910348,45.76271,4.828373,198,vieux lyon lyon frankrijk rhonealpes levieuxlyon,2011,7,20,15,27,206638020.0,Site d'Intérêt,2011-07-20 15:27:00,2011-07
6001361679,45.76271,4.828373,198,vieux lyon lyon frankrijk rhonealpes levieuxlyon,2011,7,20,15,2,206636520.0,Site d'Intérêt,2011-07-20 15:02:00,2011-07
6001361283,45.76271,4.828373,198,vieux lyon lyon frankrijk rhonealpes levieuxlyon,2011,7,20,14,46,206635560.0,Site d'Intérêt,2011-07-20 14:46:00,2011-07
6431299231,45.762763,4.828368,198,lyon rhne door france puerta lyon rhne porta porte tr deur traboule drzwi kap,2011,7,5,10,45,205325100.0,Site d'Intérêt,2011-07-05 10:45:00,2011-07
6842677566,45.762833,4.828333,198, ,2009,7,11,11,46,142775160.0,Site d'Intérêt,2009-07-11 11:46:00,2009-07
6842677282,45.762833,4.828333,198, ,2009,7,11,11,46,142775160.0,Site d'Intérêt,2009-07-11 11:46:00,2009-07
9762364003,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,12,9,24,274440240.0,Site d'Intérêt,2013-09-12 09:24:00,2013-09
9762355553,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,12,9,27,274440420.0,Site d'Intérêt,2013-09-12 09:27:00,2013-09
9681050470,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,5,17,14,273863640.0,Site d'Intérêt,2013-09-05 17:14:00,2013-09
9662834148,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,3,9,1,273661260.0,Site d'Intérêt,2013-09-03 09:01:00,2013-09
9657078355,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,3,1,38,273634680.0,Site d'Intérêt,2013-09-03 01:38:00,2013-09
9657074693,45.762833,4.828333,198, uploadedbyflickrmobile flickriosappfilternofilter,2013,9,3,1,35,273634500.0,Site d'Intérêt,2013-09-03 01:35:00,2013-09
15567078244,45.762815,4.828351,198,lyon rue mary france architecture frankreich lyon lione frana rhne frankrijk francia renaissance francie frankrig lyon historicalbuilding frankrike vieuxlyon rhnealpes francja december,2014,12,21,13,40,314631600.0,Site d'Intérêt,2014-12-21 13:40:00,2014-12
20792858338,45.762957,4.828373,198,rue troismarie lyon vieuxlyon ruedestroismarielyon,2015,8,13,9,32,334920720.0,Site d'Intérêt,2015-08-13 09:32:00,2015-08
20329154313,45.762794,4.828327,198,canon eos travel france europe lyon fr lyon rhnealpes,2015,8,28,10,6,336218760.0,Site d'Intérêt,2015-08-28 10:06:00,2015-08
20762124330,45.762794,4.828327,198,canon eos travel france europe lyon fr lyon rhnealpes,2015,8,28,10,6,336218760.0,Site d'Intérêt,2015-08-28 10:06:00,2015-08
19803642903,45.763002,4.828397,198,p ,2015,7,7,12,45,331735500.0,Site d'Intérêt,2015-07-07 12:45:00,2015-07
20237949099,45.763002,4.828397,198,p ,2015,7,7,12,42,331735320.0,Site d'Intérêt,2015-07-07 12:42:00,2015-07
22372041773,45.762852,4.828394,198, lyon toits chemines vieuxlyon sane tuiles canonpowershotsx,2013,12,26,16,55,283539300.0,Site d'Intérêt,2013-12-26 16:55:00,2013-12
25003336212,45.76277,4.828341,198,lyon traboules vieuxlyon france lyon rhne traboule vieuxlyon rhnealpesauvergne,2016,2,14,16,56,350931360.0,Site d'Intérêt,2016-02-14 16:56:00,2016-02
24494698953,45.76277,4.828341,198,lyon traboules vieuxlyon france lyon rhne traboule vieuxlyon rhnealpesauvergne,2016,2,14,16,57,350931420.0,Site d'Intérêt,2016-02-14 16:57:00,2016-02
27706836611,45.762772,4.828386,198,crpe delight ,2016,6,16,20,23,361570980.0,Site d'Intérêt,2016-06-16 20:23:00,2016-06
29211121204,45.762987,4.828319,198,facehugger alien alien facehugger spider sciencefiction horror movie han ruedi giger film space fear,2016,9,18,15,48,369676080.0,Site d'Intérêt,2016-09-18 15:48:00,2016-09
30121834691,45.763009,4.828351,198,vieux lyon ,2016,10,6,11,7,371214420.0,Site d'Intérêt,2016-10-06 11:07:00,2016-10
23490374869,45.762886,4.828344,198,lyon france france lyon,2014,5,30,11,8,296910480.0,Site d'Intérêt,2014-05-30 11:08:00,2014-05
23858284895,45.76278,4.828327,198,lyon france france lyon,2014,5,30,11,9,296910540.0,Site d'Intérêt,2014-05-30 11:09:00,2014-05
23775749211,45.76278,4.828291,198,lyon france france lyon,2014,5,30,11,9,296910540.0,Site d'Intérêt,2014-05-30 11:09:00,2014-05
23832121296,45.762722,4.828305,198,lyon france france lyon,2014,5,30,11,9,296910540.0,Site d'Intérêt,2014-05-30 11:09:00,2014-05
23229228064,45.762722,4.828305,198,lyon france france lyon,2014,5,30,11,9,296910540.0,Site d'Intérêt,2014-05-30 11:09:00,2014-05
31991531293,45.762702,4.828337,198,lyon salon th vieux st jean lyon rhone salondeth tearoom interieur leica q ngc,2017,2,8,18,11,382039860.0,Site d'Intérêt,2017-02-08 18:11:00,2017-02
32647530231,45.762702,4.828337,198,lyon lheure th lecture lyon rhone th reatime lecture reading surlevif rue street leica q,2017,2,7,17,14,381950040.0,Site d'Intérêt,2017-02-07 17:14:00,2017-02
32474821691,45.762702,4.828265,198,pasted paper oups lyon france europe france lyon stjean streetart wheatpaste wheatpaper collage pasted paper pasteup oups,2017,1,27,16,11,380995860.0,Site d'Intérêt,2017-01-27 16:11:00,2017-01
34718722733,45.762705,4.828349,198,rue trois mary vieux lyon lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop americanbar hotessespub leausale mouleriecrperie cobble restaurant,2017,6,3,10,59,391949940.0,Site d'Intérêt,2017-06-03 10:59:00,2017-06
35141523440,45.762705,4.828349,198,rue trois mary vieux lyon lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop ruedupalaisdejustice,2017,6,3,10,59,391949940.0,Site d'Intérêt,2017-06-03 10:59:00,2017-06
34718679623,45.762705,4.828349,198,rue trois mary vieux lyon sign photography anciennes materiel photo cine anciens achats ventes lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop sign photographiesanciennesmaterielsphotoscineanciensachatsventes oldphotographsphotomaterialsoldfilmpurchasesales,2017,6,3,11,0,391950000.0,Site d'Intérêt,2017-06-03 11:00:00,2017-06
35141493690,45.762705,4.828349,198,rue trois mary vieux lyon american bar hotesses pub lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop americanbar hotessespub,2017,6,3,11,0,391950000.0,Site d'Intérêt,2017-06-03 11:00:00,2017-06
35489197866,45.762705,4.828349,198,rue trois mary vieux lyon leau sale moulerie crperie chandelier lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop chandelier leausale mouleriecrperie restaurant,2017,6,3,11,2,391950120.0,Site d'Intérêt,2017-06-03 11:02:00,2017-06
35397432421,45.762705,4.828349,198,rue trois mary vieux lyon leau sale moulerie crperie lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop leausale mouleriecrperie restaurant,2017,6,3,11,2,391950120.0,Site d'Intérêt,2017-06-03 11:02:00,2017-06
35489148126,45.762705,4.828349,198,rue trois mary vieux lyon leau sale moulerie crperie sign lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop sign leausale mouleriecrperie restaurant,2017,6,3,11,2,391950120.0,Site d'Intérêt,2017-06-03 11:02:00,2017-06
34718589873,45.762705,4.828349,198,rue trois mary vieux lyon artpeaux creation sign lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries shop shop sign ruedupalaisdejustice artpeauxcreation,2017,6,3,11,3,391950180.0,Site d'Intérêt,2017-06-03 11:03:00,2017-06
35140740250,45.762942,4.82834,198,rue trois mary vieux lyon lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries ruesaintjean vivelacouleur ruesaintjean ruedestroismaries traboule traboulepasses sign door,2017,6,3,11,0,391950000.0,Site d'Intérêt,2017-06-03 11:00:00,2017-06
35140712300,45.762942,4.82834,198,rue trois mary vieux lyon plaque vive couleur lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon rhonealpes unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite vieuxlyon oldlyon largestrenaissancedistrictoflyon malrauxlaw ruedestroismaries ruesaintjean vivelacouleur ruesaintjean ruedestroismaries traboule traboulepasses openplaquesid plaque villedelyon mmoiredelyon,2017,6,3,11,0,391950000.0,Site d'Intérêt,2017-06-03 11:00:00,2017-06
35122919502,45.762705,4.828349,198,rue trois mary vieux lyon restaurant namdo lyon france burgundy bourgogne auvergnerhnealpes metropolisoflyon mobile mobileshots huawei huaweip rhonealpes vieuxlyon oldlyon unescoclassifiedplace unesco worldheritagesite unescoworldheritagesite ruedestroismaries traboulepasses ruesaintjean ruesaintjean ruedestroismaries cobble restaurantnamdo,2017,6,3,11,1,391950060.0,Site d'Intérêt,2017-06-03 11:01:00,2017-06
