id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken,year_month
6889055996,45.758863,4.826002,338,femme domino carnaval dragon stgeorges lyon ,2012,3,31,14,37,228667020.0,Événement Temporaire,2012-03-31 14:37:00,2012-03
6889054322,45.758863,4.826002,338,dindon fte carnaval dragon stgeorges lyon ,2012,3,31,14,37,228667020.0,Événement Temporaire,2012-03-31 14:37:00,2012-03
6889052324,45.758863,4.826002,338,cabriolet fantasy carnaval dragon stgeorges lyon ,2012,3,31,14,36,228666960.0,Événement Temporaire,2012-03-31 14:36:00,2012-03
7035143363,45.758863,4.826002,338,entre enfer cieux carnaval dragon stgeorges lyon ,2012,3,31,14,35,228666900.0,Événement Temporaire,2012-03-31 14:35:00,2012-03
6889048626,45.758863,4.826002,338,petite force obscure carnaval dragon stgeorges lyon ,2012,3,31,14,34,228666840.0,Événement Temporaire,2012-03-31 14:34:00,2012-03
7035139283,45.758863,4.826002,338,desse athna carnaval dragon stgeorges lyon ,2012,3,31,14,34,228666840.0,Événement Temporaire,2012-03-31 14:34:00,2012-03
6889044638,45.758863,4.826002,338,dieu grec zeus personne carnaval dragon stgeorges lyon ,2012,3,31,14,34,228666840.0,Événement Temporaire,2012-03-31 14:34:00,2012-03
7035136259,45.758863,4.826002,338,triplette lolympe carnaval dragon stgeorges lyon ,2012,3,31,14,33,228666780.0,Événement Temporaire,2012-03-31 14:33:00,2012-03
7035133013,45.758863,4.826002,338,fanfare carnaval dragon stgeorges lyon ,2012,3,31,14,32,228666720.0,Événement Temporaire,2012-03-31 14:32:00,2012-03
7035131989,45.758863,4.826002,338,fanfare carnaval dragon stgeorges lyon ,2012,3,31,14,32,228666720.0,Événement Temporaire,2012-03-31 14:32:00,2012-03
6889036960,45.758863,4.826002,338,fanfare carnaval dragon stgeorges lyon ,2012,3,31,14,31,228666660.0,Événement Temporaire,2012-03-31 14:31:00,2012-03
6889035788,45.758863,4.826002,338,triplette carnaval dragon stgeorges lyon ,2012,3,31,14,30,228666600.0,Événement Temporaire,2012-03-31 14:30:00,2012-03
7035126583,45.758863,4.826002,338,petit matelot carnaval dragon stgeorges lyon ,2012,3,31,14,30,228666600.0,Événement Temporaire,2012-03-31 14:30:00,2012-03
7035125599,45.758863,4.826002,338,bonne douche carnaval dragon stgeorges lyon ,2012,3,31,14,28,228666480.0,Événement Temporaire,2012-03-31 14:28:00,2012-03
6889031072,45.758863,4.826002,338,dtective carnaval dragon stgeorges lyon ,2012,3,31,14,26,228666360.0,Événement Temporaire,2012-03-31 14:26:00,2012-03
7035122091,45.758863,4.826002,338,bronzage olympique carnaval dragon stgeorges lyon ,2012,3,31,14,26,228666360.0,Événement Temporaire,2012-03-31 14:26:00,2012-03
6889027170,45.758863,4.826002,338,trs petite diablesse carnaval dragon stgeorges lyon ,2012,3,31,14,26,228666360.0,Événement Temporaire,2012-03-31 14:26:00,2012-03
6889025302,45.758863,4.826002,338,petite diablesse carnaval dragon stgeorges lyon ,2012,3,31,14,26,228666360.0,Événement Temporaire,2012-03-31 14:26:00,2012-03
7035117109,45.758863,4.826002,338,mascotte carnaval dragon stpaul lyon ,2012,3,31,14,24,228666240.0,Événement Temporaire,2012-03-31 14:24:00,2012-03
6889021678,45.758863,4.826002,338,dcouverte carnaval dragon stpaul lyon ,2012,3,31,14,24,228666240.0,Événement Temporaire,2012-03-31 14:24:00,2012-03
6889019582,45.758863,4.826002,338,avant carnaval dragon stpaul lyon ,2012,3,31,14,23,228666180.0,Événement Temporaire,2012-03-31 14:23:00,2012-03
7035111491,45.758863,4.826002,338,grard colomb maire lyon carnaval dragon stgeorges lyon ,2012,3,31,14,18,228665880.0,Événement Temporaire,2012-03-31 14:18:00,2012-03
6889011448,45.758863,4.826002,338,carnaval dragon stgeorges lyon ,2012,3,31,14,3,228664980.0,Événement Temporaire,2012-03-31 14:03:00,2012-03
6889016360,45.758863,4.826002,338,carnaval dragon stgeorges lyon ,2012,3,31,14,16,228665760.0,Événement Temporaire,2012-03-31 14:16:00,2012-03
7035108309,45.758863,4.826002,338,carnaval dragon stgeorges lyon ,2012,3,31,14,14,228665640.0,Événement Temporaire,2012-03-31 14:14:00,2012-03
6889013688,45.758863,4.826002,338,carnaval dragon stgeorges lyon ,2012,3,31,14,9,228665340.0,Événement Temporaire,2012-03-31 14:09:00,2012-03
6889012430,45.758863,4.826002,338,carnaval dragon stgeorges lyon ,2012,3,31,14,7,228665220.0,Événement Temporaire,2012-03-31 14:07:00,2012-03
