id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type
4181851486,45.764744,4.833185,39,lyon illumination city light festival lyon illumination fte ville fiatlux mywinners lyonilluminations,2009,12,5,19,2,-1.6633265795055097,undef
4181851180,45.764744,4.833185,39,lyon illumination city light festival lyon illumination fte ville lyonilluminations,2009,12,5,19,1,-1.663327261631954,undef
4181086347,45.764744,4.833185,39,lyon illumination city light festival lyon illumination fte ville fiatlux lyonilluminations,2009,12,5,18,59,-1.6633286258848434,undef
4181850234,45.764744,4.833185,39,lyon illumination city light festival lyon illumination fte ville lyonilluminations,2009,12,5,18,55,-1.663331354390622,undef
4181849820,45.764744,4.833185,39,lyon illumination city light festival lyon illumination fte ville lyonilluminations,2009,12,5,18,51,-1.6633340828964,undef
4176676919,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,51,-1.660182658722383,undef
4176676231,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,51,-1.660182658722383,undef
4177434014,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,51,-1.660182658722383,undef
4177433140,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,50,-1.6601833408488271,undef
4176673861,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,50,-1.6601833408488271,undef
4177431654,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,49,-1.660184022975272,undef
4176672123,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,48,-1.660184705101717,undef
4176671341,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,47,-1.6601853872281611,undef
4177429148,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,46,-1.6601860693546058,undef
4177428384,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,46,-1.6601860693546058,undef
4177427640,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,8,23,45,-1.6601867514810504,undef
4176986568,45.764727,4.833222,39,saintnizier light e france festival light europe lyon rhne fte festivaloflights lumires december th ftedeslumires dcembre grandlyon rhnealpes december dec december deuxime thdecember mearrondissement earrondissement deuximearrondissement ftedeslumires,2009,12,7,19,9,-1.661357280459971,undef
4651502166,45.764682,4.833362,39,dark angel ,2010,5,21,23,55,-1.499088949061643,undef
4651500554,45.764682,4.833362,39,stairway heaven ,2010,5,21,23,49,-1.4990930418203106,undef
4650879421,45.764682,4.833362,39,saint abducting child ,2010,5,21,23,46,-1.4990950881996443,undef
4651496194,45.764682,4.833362,39,architectural error ,2010,5,21,23,38,-1.4991005452112012,undef
4651494414,45.764682,4.833362,39,entrance leglise saintenizier lyon ,2010,5,21,23,24,-1.4991100949814251,undef
4650872733,45.764682,4.833362,39,interior blackandwhite ,2010,5,21,0,28,-1.5000487009691847,undef
4651479542,45.764678,4.833372,39,sunrise church ,2010,5,20,22,37,-1.5001244170045345,undef
4884786535,45.764753,4.833163,39,glise soleil lyon glise ville,2010,7,30,11,10,-1.4308524301768335,undef
4876922680,45.764731,4.833254,39,fte lumires lyon saint lyon fte lumires dcembre nizier,2009,2,25,15,59,-1.9414315773452,undef
4168284977,45.764757,4.833147,39,eglise saint nizier lyon rhne ftedeslumires rhnealpes eglisesaintnizier ftedeslumires,2009,12,5,23,32,-1.6631424053654695,undef
4167571302,45.764727,4.833126,39,glise saintnizier lyon ville,2009,12,5,11,48,-1.6636226223824628,undef
5294945177,45.764663,4.833152,39,lyon fte lumires lyon fete lumieres,2010,12,11,19,30,-1.2988882482059714,undef
5271058591,45.764544,4.83326,39, ftedeslumires,2010,12,11,18,45,-1.298918943895978,undef
5271666918,45.76454,4.83326,39, ftedeslumires,2010,12,11,18,41,-1.2989216724017565,undef
5253891482,45.764712,4.833126,39,eglise saintnizier church eglise ftedeslumires eglisesaintnizier,2010,12,11,21,4,-1.2988241283201798,undef
5253281561,45.764712,4.833126,39,eglise saintnizier church eglise ftedeslumires eglisesaintnizier,2010,12,11,21,3,-1.2988248104466245,undef
5253889200,45.764712,4.833126,39,eglise saintnizier green church vert eglise ftedeslumires eglisesaintnizier,2010,12,11,21,4,-1.2988241283201798,undef
5247913460,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,17,-1.3006979296634753,undef
5247310257,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,17,-1.3006979296634753,undef
5247911300,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,16,-1.30069861178992,undef
5247307943,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,16,-1.30069861178992,undef
5247306771,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,15,-1.3006992939163644,undef
5247305377,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,15,-1.3006992939163644,undef
5247905910,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,15,-1.3006992939163644,undef
5247904600,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,15,-1.3006992939163644,undef
5247301273,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,15,-1.3006992939163644,undef
5247901874,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,14,-1.300699976042809,undef
5247298681,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,14,-1.300699976042809,undef
5247297519,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,14,-1.300699976042809,undef
5247898226,45.764761,4.833265,39, france church light cathedral lyon religion fete eglise lumieres cathedrale fetedeslumieres,2010,12,9,23,14,-1.300699976042809,undef
5246994017,45.764753,4.833158,39,saintnizier saint lyon fte lumires dcembre nizier,2010,12,8,22,26,-1.3017149801923626,undef
5246993711,45.764753,4.833158,39,saintnizier saint lyon fte lumires dcembre nizier,2010,12,8,22,24,-1.301716344445252,undef
5595803091,45.764708,4.83319,39,fte lumires lyon h lyon lumires ftedeslumires,2009,12,6,19,56,-1.6623074825972883,undef
5596385798,45.764708,4.83319,39,fte lumires lyon h lyon lumires ftedeslumires,2009,12,6,19,56,-1.6623074825972883,undef
5596385654,45.764708,4.83319,39,fte lumires lyon h lyon lumires ftedeslumires,2009,12,6,19,56,-1.6623074825972883,undef
5766607471,45.764746,4.833136,39,glise saintnizier e church architecture place lyon gothic arrondissement glise gothique presqule saintnizier,2010,7,20,11,31,-1.440660726323629,undef
6012240380,45.764761,4.833265,39, france church cathedral lyon religion eglise cathedrale,2011,8,5,18,51,-1.0661187381267871,undef
6180371529,45.764722,4.833297,39, architecture lyon,2011,7,21,18,44,-1.0808574442150969,undef
6404381247,45.764648,4.833244,39,lyon lglise saint nizier church saint catholic lyon glise catholique nizier,2011,11,23,17,8,-0.9581401683271304,undef
6737889011,45.764764,4.833168,39, light night lyon lumire nuit,2010,12,11,22,38,-1.298760008434388,undef
6529545341,45.764764,4.833168,39,lyon fte lumires light night lyon lumire nuit,2009,12,5,22,15,-1.6631949291017032,undef
8392595131,45.764716,4.833362,39,church saintnizier roof panorama france church architecture view lyon gothic spire renaissance presqule saintnizier,2012,12,11,8,30,-0.5813048710235684,undef
8272381613,45.764716,4.833244,39,lfl france lyon,2012,12,9,0,6,-0.5836131869120693,undef
9282159057,45.764786,4.833122,39,dcorations france lyon dcoration rhnealpes,2013,6,15,18,20,-0.3982016695016074,undef
9284918324,45.764791,4.833138,39,dcorations france lyon decoration rhnealpes,2013,6,15,18,20,-0.3982016695016074,undef
9448357963,45.764723,4.833254,39,south spire eglise st nizier lyon lyon stnizier eglisestnizier ndmay,2013,5,2,7,49,-0.4418516228175252,undef
9451095972,45.764723,4.833254,39,south spire eglise st nizier lyon lyon stnizier eglisestnizier ndmay,2013,5,2,8,54,-0.4418072845986266,undef
9444503852,45.764723,4.833254,39,eglise st nizier lyon evening light lyon stmay stnizier eglisestnizier,2013,5,1,19,42,-0.4423475287427439,undef
10475220315,45.764634,4.833168,39,st nizier lyon stnizier,2013,10,24,17,53,-0.2695437544076849,undef
8254809836,45.764777,4.833291,39, france lyon reflet fte nuit lumires paroisse catholique rhnealpes,2012,12,6,22,30,-0.5856431952111766,undef
8254808674,45.764777,4.833291,39, france lyon reflet nuit bougie paroisse ftedeslumires catholique rhnealpes bnitier,2012,12,6,22,31,-0.585642513084732,undef
15474562917,45.764723,4.833254,39,lyon eglise saintnizier lyon eglise saintnizier stnizier france nikkor aipro,2014,10,14,17,17,0.0791347275159883,undef
15441639832,45.764716,4.833244,39,bal france lyon,2014,9,27,18,17,0.0624771997390398,undef
15441993385,45.764716,4.833244,39,bal france lyon,2014,9,27,18,17,0.0624771997390398,undef
11330623963,45.764716,4.833244,39,lph france lyon,2013,12,7,11,11,-0.2265984377090312,undef
20890645766,45.764738,4.833308,39,altar piece saintnizier lyon altarpiece saintnizierdelyon,2015,8,12,11,50,0.3755548203929868,undef
20295891763,45.764738,4.833308,39,envoyant tincelles candle lyon lueur,2015,8,12,11,52,0.375556184645876,undef
