id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year
4276357426,39474732@N05,45.777827,4.857952,"lyon,lion,dor,parc,tête",020U1040,20,12,20,9,2008
4254634346,45557554@N04,45.763563,4.878702,"bridge,urban,silhouette,digital,soleil,photo,fuji,foto,lyon,photos,images,iso,nicolas,finepix,asa,nuages,toit,numérique,grue,urbain,urbanisme,cliché,photographe,villeurbanne,clichés,chalvet,s6500fd,caneos87,caneos87yahoofr",Coucher de soleil,0,20,29,4,2007
4240137667,14669387@N04,45.769,4.831167,,IMG_0838.JPG,40,13,2,12,2008
4232579246,33646230@N03,45.762755,4.811775,"friedhof,france,cemetery,grave,graveyard,lyon,tomb,graves,tombs,cimitiere,loyasse","Lyon, Cimitière de Loyasse",35,8,14,4,2007
4230769303,14669387@N04,45.769,4.831167,,GNR pentes,40,13,2,12,2008
4227457729,40936370@N00,45.837448,4.826248,"portrait,sculpture,snow,streetart,france,art,mystery,museum,architecture,night,painting,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,anarchy,neige,artbrut,nuit,ddc,sanctuary,worldwar,bombing,mystic,cyberpunk,landart,devastation,alchemy,destroy,modernsculpture,prophecy,999,vanitas,endoftheworld,sanctuaire,postapocalyptic,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,ephemeralart,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,artéphémère,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,ehrmannscrew,groupeserveur,lespritdelasalamandre,crashculture,servergroup",Ether by Ehrmann's Crew K IMGP0690 (glissé(e)s),0,16,23,1,2007
4227457689,40936370@N00,45.837448,4.826248,"portrait,sculpture,snow,streetart,france,art,mystery,museum,architecture,night,painting,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,anarchy,neige,artbrut,nuit,ddc,sanctuary,worldwar,bombing,mystic,cyberpunk,landart,devastation,alchemy,destroy,modernsculpture,prophecy,999,vanitas,endoftheworld,sanctuaire,postapocalyptic,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,ephemeralart,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,artéphémère,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,ehrmannscrew,groupeserveur,lespritdelasalamandre,crashculture,servergroup",Ether by Ehrmann's Crew K IMGP0233 (glissé(e)s),43,5,21,1,2007
4228227444,40936370@N00,45.837448,4.826248,"portrait,sculpture,snow,streetart,france,art,mystery,museum,architecture,night,painting,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,anarchy,neige,artbrut,nuit,ddc,sanctuary,worldwar,bombing,mystic,cyberpunk,landart,devastation,alchemy,destroy,modernsculpture,prophecy,999,vanitas,endoftheworld,sanctuaire,postapocalyptic,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,ephemeralart,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,artéphémère,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,ehrmannscrew,groupeserveur,lespritdelasalamandre,crashculture,servergroup",Ether by Ehrmann's Crew K IMGP0235 (glissé(e)s),43,5,21,1,2007
4227457613,40936370@N00,45.837448,4.826248,"portrait,sculpture,snow,streetart,france,art,mystery,museum,architecture,night,painting,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,anarchy,neige,artbrut,nuit,ddc,sanctuary,worldwar,bombing,mystic,cyberpunk,landart,devastation,alchemy,destroy,modernsculpture,prophecy,999,vanitas,endoftheworld,sanctuaire,postapocalyptic,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,ephemeralart,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,artéphémère,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,ehrmannscrew,groupeserveur,lespritdelasalamandre,crashculture,servergroup",Ether by Ehrmann's Crew K IMGP0243 (glissé(e)s),44,5,21,1,2007
4228227378,40936370@N00,45.837448,4.826248,"portrait,sculpture,snow,streetart,france,art,mystery,museum,architecture,night,painting,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,anarchy,neige,artbrut,nuit,ddc,sanctuary,worldwar,bombing,mystic,cyberpunk,landart,devastation,alchemy,destroy,modernsculpture,prophecy,999,vanitas,endoftheworld,sanctuaire,postapocalyptic,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,ephemeralart,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,artéphémère,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,ehrmannscrew,groupeserveur,lespritdelasalamandre,crashculture,servergroup",Ether by Ehrmann's Crew K IMGP0255 (glissé(e)s),47,5,21,1,2007
