id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year
39768386515,23723681@N05,45.763888,4.923888,,20180303_131313,13,13,3,3,2018
39953353624,23723681@N05,45.763888,4.923888,,20180303_131332,13,13,3,3,2018
39953352814,23723681@N05,45.763888,4.923888,,20180303_131412,14,13,3,3,2018
26792074348,23723681@N05,45.763888,4.923888,,20180303_131436,14,13,3,3,2018
39768384605,23723681@N05,45.763888,4.923888,,20180303_131517,15,13,3,3,2018
39768383935,23723681@N05,45.763888,4.923888,,20180303_131641,16,13,3,3,2018
40663180651,23723681@N05,45.763888,4.923888,,20180303_131751,17,13,3,3,2018
39768383225,23723681@N05,45.763888,4.923888,,20180303_131824,18,13,3,3,2018
39953349474,23723681@N05,45.763888,4.923888,,20180303_131933,19,13,3,3,2018
39768381535,23723681@N05,45.763888,4.923888,,20180303_132105,21,13,3,3,2018
39953348034,23723681@N05,45.763888,4.923888,,20180303_132134,21,13,3,3,2018
39953346954,23723681@N05,45.763888,4.923888,,20180303_132422,24,13,3,3,2018
39953346104,23723681@N05,45.763888,4.923888,,20180303_132519,25,13,3,3,2018
39768379215,23723681@N05,45.763888,4.923888,,20180303_132545,25,13,3,3,2018
39953344804,23723681@N05,45.763888,4.923888,,20180303_132650,26,13,3,3,2018
39768378235,23723681@N05,45.763888,4.923888,,20180303_132728,27,13,3,3,2018
39953343094,23723681@N05,45.763888,4.923888,,20180303_132735,27,13,3,3,2018
40663175461,23723681@N05,45.763888,4.923888,,20180303_132815,28,13,3,3,2018
39768376765,23723681@N05,45.763888,4.923888,,20180303_132904,29,13,3,3,2018
39953340144,23723681@N05,45.763888,4.923888,,20180303_132950,29,13,3,3,2018
39953339194,23723681@N05,45.763888,4.923888,,20180303_133004,30,13,3,3,2018
39953338234,23723681@N05,45.763888,4.923888,,20180303_133041,30,13,3,3,2018
39768373775,23723681@N05,45.763888,4.923888,,20180303_133057,30,13,3,3,2018
39953336424,23723681@N05,45.763888,4.923888,,20180303_133208,32,13,3,3,2018
39953335674,23723681@N05,45.763888,4.923888,,20180303_133301,33,13,3,3,2018
40663172611,23723681@N05,45.763888,4.923888,,20180303_133418,34,13,3,3,2018
25792677687,23723681@N05,45.763888,4.923888,,20180303_133519,35,13,3,3,2018
39953334374,23723681@N05,45.763888,4.923888,,20180303_133636,36,13,3,3,2018
26792064278,23723681@N05,45.763888,4.923888,,20180303_133720,37,13,3,3,2018
39953333644,23723681@N05,45.763888,4.923888,,20180303_133745,37,13,3,3,2018
39953333024,23723681@N05,45.763888,4.923888,,20180303_133817,38,13,3,3,2018
26792063188,23723681@N05,45.763888,4.923888,,20180303_133910,39,13,3,3,2018
40663171651,23723681@N05,45.763888,4.923888,,20180303_134005,40,13,3,3,2018
26792061838,23723681@N05,45.763888,4.923888,,20180303_134028,40,13,3,3,2018
39953330584,23723681@N05,45.763888,4.923888,,20180303_134135,41,13,3,3,2018
